time_s,peak_V,peak_V_rel,cadence_spm,wear_index
0.1000108586298327,3.099993,-4.999999999810711e-06,,0.9999983870957336
0.5003816687523747,3.099995,-2.9999999999752447e-06,149.90175291857165,0.9999990322574401
0.8998567201666742,3.099998,0.0,150.08722483679495,1.0
1.299829275186151,3.100009,1.100000000020529e-05,150.00595789288144,1.000003548389386
1.699788991243375,3.099995,-2.9999999999752447e-06,150.01136449718587,0.9999990322574401
2.100080879649263,3.099998,0.0,149.9934489583673,1.0
2.500057096815376,3.099998,0.0,150.0040303256448,1.0
2.900112264751584,3.099998,0.0,149.81718112245088,1.0
3.300181690796314,3.099997,-9.999999996956888e-07,150.16619652917902,0.9999996774191469
3.700088429332252,3.099997,-9.999999996956888e-07,149.98077003960267,0.9999996774191469
4.100191043039318,3.100031,3.300000000017178e-05,150.03554707195588,1.0000106451681583
4.499589262799419,3.1,2.000000000279556e-06,149.99953292900184,1.0000006451617067
4.899954466391845,3.099996,-1.9999999998354667e-06,149.98670408962468,0.9999993548382935
5.300012887424343,3.099999,1.000000000139778e-06,150.00362317848413,1.0000003225808534
5.700037344307318,3.100001,2.9999999999752447e-06,150.0245058995033,1.0000009677425599
6.100225248727313,3.100004,6.000000000394579e-06,149.98646427558717,1.0000019354851197
6.500067681749422,3.099996,-1.9999999998354667e-06,149.98295132924534,0.9999993548382935
6.900279700477707,3.099997,-9.999999996956888e-07,149.99823396792928,0.9999996774191469
7.299898183123497,3.099997,-9.999999996956888e-07,150.0129532362841,0.9999996774191469
7.700029110028807,3.099998,0.0,149.96014607876825,1.0
8.100033579283254,3.100003,5.000000000254801e-06,150.03507419761235,1.0000016129042664
8.500058524974378,3.099996,-1.9999999998354667e-06,150.0117839326404,0.9999993548382935
8.899822328761694,3.100003,5.000000000254801e-06,149.9980969961991,1.0000016129042664
9.30001126424264,3.099997,-9.999999996956888e-07,149.96527077014755,0.9999996774191469
9.700071803653893,3.099996,-1.9999999998354667e-06,150.04791155741395,0.9999993548382935
10.10015926117441,3.099996,-1.9999999998354667e-06,149.95824379564044,0.9999993548382935
